configuration,problem,model,data_file,status,time,peakDepth,nodes,variables,intVars,boolVariables,objective,propagations,initTime,method,baseMem,restarts,nSolutions,flatBoolVars,randomSeed,evaluatedHalfReifiedConstraints,flatIntConstraints,solver_objective,backjumps,solveTime,flatIntVars,nogoods,flatTime,peakMem,flatBoolConstraints,failures,run,trailMem,eliminatedImplications,paths,propagators,optTime,evaluatedReifiedConstraints
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta64_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta64_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7882468346506,1016,2973036,332093,4041,328050,-17385,358828684,0.185,minimize,0.0,75,75,3050,1097541544,2050,9109,-17385,2168453,1198.997,4039,727902,1.00345,0.0,4000,727902,MaxEff,0.94,1050,0,5048,10.87,2000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6098940074444,765,3178774,239700,3052,236646,-15127,260196362,0.138,minimize,0.0,42,42,2300,1924013067,1550,6865,-15127,2177258,1199.222,3050,968937,0.779887,0.0,3000,968937,MaxEff,0.94,800,0,3815,10.613,1500
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta54_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta54_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.4502085279673,,,,,,-15857,,,minimize,,,48,2300,,1550,6865,,,,3050,,0.76708,,3000,,MaxEff,,800,0,,,1500
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta54_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta54_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7165488954633,763,2616187,317381,3051,314328,-15857,296829476,0.14,minimize,0.0,48,48,2300,933319647,1550,6865,-15857,1961390,1199.238,3050,617785,0.761368,0.0,3000,617785,MaxEff,0.94,800,0,3815,7.429,1500
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta37_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta37_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.399868844077,,,,,,-8284,,,minimize,,,25,1380,,930,4128,,,,1833,,0.51092,,1800,,MaxEff,,480,0,,,900
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_6a_alloc1_MaxEffGini.dzn,SATISFIED,1201.430297177285,2021,2044017,1532582,8088,1524492,-43882,228310824,0.381,minimize,0.0,228,228,6100,-1749096366,4100,18207,-43882,1283800,1198.108,8087,298640,1.8924,0.0,8000,298640,MaxEff,3.16,2100,0,10094,241.951,4000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta67_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta67_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7921135444194,1010,1600622,363452,4048,359402,-18895,326152427,0.184,minimize,0.0,52,52,3050,-1886529798,2050,9116,-18895,1064859,1198.966,4046,482608,1.031979,0.0,4000,482608,MaxEff,0.94,1050,0,5062,28.671,2000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta48_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta48_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6347302608192,605,3550519,256006,2433,253571,-10459,480904823,0.112,minimize,0.0,29,29,1830,65543590,1230,5481,-10459,2950045,1199.352,2431,583458,0.646284,0.0,2400,583458,MaxEff,0.94,630,0,3052,1105.774,1200
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta55_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta55_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.4886549357325,,,,,,-12972,,,minimize,,,43,2300,,1550,6863,,,,3048,,0.769792,,3000,,MaxEff,,800,0,,,1500
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta64_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta64_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.8254131730646,1017,2604232,348366,4039,344325,-18502,279973161,0.186,minimize,0.0,50,50,3050,-174568820,2050,9108,-18502,1892544,1198.928,4038,660302,1.07015,0.0,4000,660302,MaxEff,1.41,1050,0,5046,222.218,2000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta51_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta51_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.549216940999,763,4389293,231140,3052,228086,-14889,312469091,0.138,minimize,0.0,56,56,2300,874719690,1550,6865,-14889,3191087,1199.236,3050,1155055,0.761648,0.0,3000,1155055,MaxEff,0.63,800,0,3815,3.386,1500
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta50_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta50_2a_alloc1_MaxEffGini.dzn,SATISFIED,1200.3632801491767,,,,,,-10191,,,minimize,,,32,1830,,1230,5482,,,,2432,,0.678117,,2400,,MaxEff,,630,0,,,1200
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta46_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta46_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.412315407768,,,,,,-10385,,,minimize,,,23,1830,,1230,5482,,,,2432,,0.648148,,2400,,MaxEff,,630,0,,,1200
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta58_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta58_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.42455018498,,,,,,-16354,,,minimize,,,55,2300,,1550,6870,,,,3055,,0.775079,,3000,,MaxEff,,800,0,,,1500
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta79_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta79_8a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6651501953602,,,,,,-44118,,,minimize,,,154,6100,,4100,18208,,,,8088,,1.88485,,8000,,MaxEff,,2100,0,,,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6478169132024,766,3636714,242057,3050,239005,-15121,259364671,0.141,minimize,0.0,48,48,2300,-1723545154,1550,6864,-15121,2559612,1199.229,3049,1039934,0.769519,0.0,3000,1039934,MaxEff,0.94,800,0,3813,5.333,1500
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta73_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta73_7a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7850992642343,,,,,,-45238,,,minimize,,,117,6100,,4100,18211,,,,8091,,2.01325,,8000,,MaxEff,,2100,0,,,4000
