configuration,problem,model,data_file,status,time,restarts,intVars,run,initTime,solveTime,method,flatTime,backjumps,optTime,nSolutions,solver_objective,flatIntConstraints,objective,baseMem,trailMem,eliminatedImplications,flatBoolVars,flatBoolConstraints,failures,nogoods,nodes,propagations,peakDepth,propagators,paths,flatIntVars,evaluatedHalfReifiedConstraints,randomSeed,boolVariables,evaluatedReifiedConstraints,peakMem,variables
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta52_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta52_5a_alloc1_MinDis.dzn,SATISFIED,1200.7066886480898,36,3049,MinDis,0.139,1199.216,minimize,0.780018,2927487,220.224,36,101,6863,101,0.0,0.94,800,2300,3000,860387,860387,3815889,282960426,764,3811,0,3048,1550,1633314466,321327,1500,0.0,324378
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta32_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta32_2a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,1086.3615200258791,9,1832,MinDis,0.082,1085.373,minimize,0.519534,2129756,1085.276,9,0,4125,0,0.0,0.63,480,1380,1800,658460,658460,2792237,380533474,458,2295,0,1830,930,1763286923,225721,900,0.0,227555
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_8a_alloc1_MinDis.dzn,SATISFIED,1201.2253603935242,52,8090,MinDis,0.377,1198.119,minimize,1.88971,2973402,754.336,52,1502,18208,1502,0.0,2.11,2100,6100,8000,128594,128594,3208305,629193455,2020,10096,0,8088,4100,-1022714736,1063905,4000,0.0,1071997
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta74_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_6a_alloc1_MinDis.dzn,SATISFIED,1201.162701856345,36,8086,MinDis,0.375,1198.154,minimize,1.85604,2940806,986.451,36,771,18204,771,0.0,2.11,2100,6100,8000,129568,129568,3144293,800241412,2019,10088,0,8084,4100,1781917496,966616,4000,0.0,974704
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta69_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta69_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,94.36264363862574,21,4048,MinDis,0.191,92.587,minimize,1.010259,616467,92.543,21,0,9117,0,0.0,0.94,1050,3050,4000,51426,51426,689059,53763340,1015,5064,0,4047,2050,1772011368,363489,2000,0.0,367539
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta61_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta61_3a_alloc1_MinDis.dzn,SATISFIED,1200.7552260961384,32,4045,MinDis,0.186,1198.978,minimize,1.021749,7858379,629.168,32,162,9113,162,0.0,0.94,1050,3050,4000,400731,400731,8292100,719015056,1014,5056,0,4043,2050,-618689019,378475,2000,0.0,382522
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta62_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta62_4a_alloc1_MinDis.dzn,SATISFIED,1200.4917977694422,,,MinDis,,,minimize,1.021679,,,5,,9118,1338,,,1050,3050,4000,,,,,,,0,4048,2050,,,2000,,
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta80_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta80_5a_alloc1_MinDis.dzn,SATISFIED,1201.3255090638995,63,8088,MinDis,0.375,1198.125,minimize,1.88823,2305755,270.322,63,200,18207,200,0.0,2.11,2100,6100,8000,109349,109349,2543447,500692674,2018,10094,0,8087,4100,381293600,1160876,4000,0.0,1168966
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_7a_alloc1_MinDis.dzn,SATISFIED,1201.218698253855,50,8085,MinDis,0.386,1198.111,minimize,1.89323,2466197,484.058,50,151,18204,151,0.0,2.11,2100,6100,8000,111794,111794,2680163,507607675,2019,10088,0,8084,4100,293369226,1041817,4000,0.0,1049904
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_3a_alloc1_MinDis.dzn,SATISFIED,1200.6119423154742,13,3048,MinDis,0.139,1199.231,minimize,0.766146,6053570,3.03,13,1,6862,1,0.0,0.63,800,2300,3000,1284699,1284699,7348873,214263067,766,3809,0,3047,1550,-887182664,229294,1500,0.0,232344
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta40_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta40_3a_alloc1_MinDis.dzn,UNKNOWN,1200.5887083355337,0,1829,MinDis,0.082,1199.485,minimize,0.513682,2173450,0.0,0,-1,4123,,0.0,0.94,480,1380,1800,992571,992571,3166339,444754124,454,2291,0,1828,930,1639288914,158314,900,0.0,160145
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta56_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta56_4a_alloc1_MinDis.dzn,SATISFIED,1200.450386006385,,,MinDis,,,minimize,0.775073,,,47,,6861,1453,,,800,2300,3000,,,,,,,0,3046,1550,,,1500,,
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_10a_alloc1_MinDis.dzn,SATISFIED,1201.164843359962,26,8099,MinDis,0.391,1198.091,minimize,1.91162,3405012,201.013,26,2548,18217,2548,0.0,2.11,2100,6100,8000,155699,155699,3614458,800338607,2018,10114,0,8097,4100,-614553532,747769,4000,0.0,755870
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta76_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta76_7a_alloc1_MinDis.dzn,SATISFIED,1200.7318532019854,,,MinDis,,,minimize,1.92274,,,126,,18205,422,,,2100,6100,8000,,,,,,,0,8085,4100,,,4000,,
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta34_3a_alloc1_MinDis.dzn,SATISFIED,1200.3977248333395,,,MinDis,,,minimize,0.517282,,,8,,4127,448,,,480,1380,1800,,,,,,,0,1832,930,,,900,,
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta34_3a_alloc1_MinDis.dzn,SATISFIED,1200.5318512171507,8,1834,MinDis,0.084,1199.488,minimize,0.510495,2373971,619.384,8,448,4127,448,0.0,0.63,480,1380,1800,927084,927084,3305017,408186156,461,2299,0,1832,930,-633212473,219415,900,0.0,221251
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta41_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta41_3a_alloc1_MinDis.dzn,SATISFIED,1200.5474696215242,9,2433,MinDis,0.113,1199.351,minimize,0.648454,5293230,621.836,9,2,5481,2,0.0,0.63,630,1830,2400,309970,309970,5608356,599903834,604,3052,0,2431,1230,-1057916397,294287,1200,0.0,296722
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta34_2a_alloc1_MinDis.dzn,SATISFIED,1200.512314606458,4,1833,MinDis,0.085,1199.485,minimize,0.515248,1521412,161.576,4,31,4126,31,0.0,0.94,480,1380,1800,864552,864552,2388074,421996590,461,2297,0,1831,930,-627310840,194127,900,0.0,195962
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta49_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta49_3a_alloc1_MinDis.dzn,SATISFIED,1200.5008630603552,3,2431,MinDis,0.109,1199.317,minimize,0.681624,2070150,100.181,3,518,5479,518,0.0,0.94,630,1830,2400,667923,667923,2740272,485640330,610,3048,0,2429,1230,173000034,213885,1200,0.0,216318
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta73_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_6a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,124.81745912879705,40,8090,MinDis,0.389,121.632,minimize,1.91233,824981,67.801,40,142,18209,142,0.0,2.11,2100,6100,8000,15720,15720,922937,78328772,2019,10098,0,8089,4100,1772016558,890133,4000,0.0,898225
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_8a_alloc1_MinDis.dzn,SATISFIED,1201.2188259847462,21,8092,MinDis,0.392,1198.122,minimize,1.88504,2278080,913.156,21,700,18211,700,0.0,2.11,2100,6100,8000,102912,102912,2424702,685866030,2019,10102,0,8091,4100,1838347791,746337,4000,0.0,754431
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta70_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta70_5a_alloc1_MinDis.dzn,SATISFIED,1200.496940921992,,,MinDis,,,minimize,1.009209,,,13,,9114,783,,,1050,3050,4000,,,,,,,0,4044,2050,,,2000,,
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta52_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta52_3a_alloc1_MinDis.dzn,UNKNOWN,1200.6018588561565,0,3047,MinDis,0.14,1199.234,minimize,0.770117,4722591,0.0,0,-1,6861,,0.0,0.94,800,2300,3000,990788,990788,5714039,230350897,754,3807,0,3046,1550,-112692064,180241,1500,0.0,183290
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta76_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta76_7a_alloc1_MinDis.dzn,SATISFIED,1201.134039344266,39,8086,MinDis,0.379,1198.119,minimize,1.87995,2755147,533.065,39,1361,18205,1361,0.0,2.11,2100,6100,8000,125794,125794,2961013,532097567,2021,10090,0,8085,4100,1195684440,856229,4000,0.0,864317
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta66_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta66_4a_alloc1_MinDis.dzn,SATISFIED,1200.5475970003754,,,MinDis,,,minimize,1.02817,,,17,,9115,426,,,1050,3050,4000,,,,,,,0,4045,2050,,,2000,,
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta62_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta62_3a_alloc1_MinDis.dzn,SATISFIED,1200.6498513501137,20,4049,MinDis,0.184,1199.008,minimize,0.990069,12285725,475.902,20,9,9117,9,0.0,0.94,1050,3050,4000,572880,572880,12879511,1081649786,1014,5064,0,4047,2050,-520378129,249979,2000,0.0,254030
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta79_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta79_7a_alloc1_MinDis.dzn,SATISFIED,1201.19170967862,19,8088,MinDis,0.385,1198.095,minimize,1.90551,3582078,521.160999,19,476,18206,476,0.0,2.11,2100,6100,8000,161023,161023,3782764,874971061,2020,10092,0,8086,4100,-122465464,731251,4000,0.0,739341
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta72_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta72_8a_alloc1_MinDis.dzn,SATISFIED,1201.2153329532593,29,8089,MinDis,0.374,1198.103,minimize,1.90032,2114443,368.795,29,974,18208,974,0.0,2.11,2100,6100,8000,92484,92484,2266730,633333752,2019,10096,0,8088,4100,249906205,917167,4000,0.0,925258
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_9a_alloc1_MinDis.dzn,SATISFIED,1200.6323734000325,,,MinDis,,,minimize,1.95827,,,59,,18216,381,,,2100,6100,8000,,,,,,,0,8096,4100,,,4000,,
