configuration,problem,model,data_file,status,time,restarts,intVars,run,initTime,solveTime,method,flatTime,backjumps,optTime,nSolutions,solver_objective,flatIntConstraints,objective,baseMem,trailMem,eliminatedImplications,flatBoolVars,flatBoolConstraints,failures,nogoods,nodes,propagations,peakDepth,propagators,paths,flatIntVars,evaluatedHalfReifiedConstraints,randomSeed,boolVariables,evaluatedReifiedConstraints,peakMem,variables
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta72_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta72_6a_alloc1_MinDis.dzn,SATISFIED,1201.1905821338296,37,8087,MinDis,0.384,1198.12,minimize,1.88328,2611175,1132.211,37,696,18206,696,0.0,2.11,2100,6100,8000,115682,115682,2802808,577871127,2019,10092,0,8086,4100,-1075628266,981165,4000,0.0,989254
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta52_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta52_3a_alloc1_MinDis.dzn,UNKNOWN,1200.5912710223347,0,3048,MinDis,0.139,1199.227,minimize,0.771326,4640340,0.0,0,-1,6861,,0.0,0.94,800,2300,3000,968787,968787,5609803,225400648,754,3807,0,3046,1550,-817712800,180134,1500,0.0,183184
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta32_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta32_3a_alloc1_MinDis.dzn,SATISFIED,1200.5383889861405,19,1832,MinDis,0.084,1199.487,minimize,0.511417,2533091,277.587,19,25,4126,25,0.0,0.63,480,1380,1800,901712,901712,3443649,402054768,460,2297,0,1831,930,-1448958918,242344,900,0.0,244178
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta56_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta56_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,9.115248506888747,22,3046,MinDis,0.143,7.712,minimize,0.765139,58949,7.705,22,0,6860,0,0.0,0.63,800,2300,3000,2620,2620,78351,4886716,765,3805,0,3045,1550,-989394920,194436,1500,0.0,197484
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta76_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta76_8a_alloc1_MinDis.dzn,SATISFIED,1201.1762281376868,52,8087,MinDis,0.38,1198.112,minimize,1.89516,2918510,1018.411,52,265,18206,265,0.0,2.11,2100,6100,8000,130949,130949,3155819,389606012,2021,10092,0,8086,4100,1192554750,968339,4000,0.0,976428
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta60_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta60_4a_alloc1_MinDis.dzn,SATISFIED,1200.62303429842,56,3053,MinDis,0.144,1199.223,minimize,0.777498,5188168,795.064,56,92,6866,92,0.0,0.94,800,2300,3000,517218,517218,5748483,536684499,765,3817,0,3051,1550,-1038234387,316679,1500,0.0,319734
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta73_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_9a_alloc1_MinDis.dzn,SATISFIED,1201.2100302893668,27,8094,MinDis,0.386,1198.092,minimize,1.90626,3373281,270.124,27,1902,18212,1902,0.0,2.11,2100,6100,8000,147925,147925,3577048,832210403,2019,10104,0,8092,4100,-999604080,745248,4000,0.0,753344
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_7a_alloc1_MinDis.dzn,SATISFIED,1200.6809244714677,,,MinDis,,,minimize,1.88855,,,137,,18210,442,,,2100,6100,8000,,,,,,,0,8090,4100,,,4000,,
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta50_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta50_3a_alloc1_MinDis.dzn,SATISFIED,1200.612162515521,23,2434,MinDis,0.111,1199.357,minimize,0.650605,4457018,832.552,23,9,5482,9,0.0,0.63,630,1830,2400,282523,282523,4750728,665590651,604,3054,0,2432,1230,-1409965436,275327,1200,0.0,277763
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta41_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta41_2a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,343.28623093292117,6,2432,MinDis,0.112,342.104,minimize,0.659426,1099277,342.029,6,0,5480,0,0.0,0.63,630,1830,2400,120019,120019,1222631,175986807,604,3050,0,2430,1230,-418397474,258595,1200,0.0,261029
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta54_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta54_4a_alloc1_MinDis.dzn,SATISFIED,1200.6562046650797,3,3052,MinDis,0.139,1199.228,minimize,0.772454,2193363,56.475,3,1484,6865,1484,0.0,0.94,800,2300,3000,700875,700875,2897122,285260781,762,3815,0,3050,1550,-1067091904,255645,1500,0.0,258699
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta48_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta48_3a_alloc1_MinDis.dzn,SATISFIED,1200.570143500343,11,2431,MinDis,0.114,1199.388,minimize,0.61082,3262882,486.331,11,25,5480,25,0.0,0.94,630,1830,2400,265222,265222,3534142,537670406,604,3050,0,2430,1230,-1714370510,323701,1200,0.0,326134
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_6a_alloc1_MinDis.dzn,SATISFIED,1201.1457117125392,32,8090,MinDis,0.382,1198.127,minimize,1.87671,3091981,200.267,32,1479,18209,1479,0.0,2.11,2100,6100,8000,140347,140347,3298217,564169976,2018,10098,0,8089,4100,817203939,858330,4000,0.0,866422
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_8a_alloc1_MinDis.dzn,SATISFIED,1201.2995966374874,75,8086,MinDis,0.381,1198.104,minimize,1.89469,1879252,795.622,75,1293,18205,1293,0.0,2.11,2100,6100,8000,86969,86969,2118805,440743896,2019,10090,0,8085,4100,1040669647,1236146,4000,0.0,1244234
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta33_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta33_3a_alloc1_MinDis.dzn,SATISFIED,1200.4991951659322,1,1832,MinDis,0.087,1199.485,minimize,0.512792,2204628,3.353,1,2871,4126,2871,0.0,0.63,480,1380,1800,1023139,1023139,3228538,397910043,461,2297,0,1831,930,198394943,168912,900,0.0,170746
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_9a_alloc1_MinDis.dzn,SATISFIED,1201.295296818018,84,8087,MinDis,0.382,1198.117,minimize,1.89806,1591952,1197.742,84,949,18206,949,0.0,2.11,2100,6100,8000,71942,71942,1834699,480891868,2019,10092,0,8086,4100,1413525551,1283899,4000,0.0,1291988
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta64_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta64_3a_alloc1_MinDis.dzn,SATISFIED,1200.7428243439645,15,4038,MinDis,0.181,1198.998,minimize,0.999605,3174056,848.234,15,229,9106,229,0.0,0.94,1050,3050,4000,883271,883271,4073351,311244431,1015,5042,0,4036,2050,-1769605395,351368,2000,0.0,355408
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta54_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta54_5a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,348.0218114182353,106,3052,MinDis,0.141,346.546,minimize,0.771103,2075376,346.506,106,0,6866,0,0.0,0.63,800,2300,3000,112773,112773,2276444,196083864,762,3817,0,3051,1550,1772015524,388426,1500,0.0,391480
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta48_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta48_3a_alloc1_MinDis.dzn,SATISFIED,1200.4586969334632,,,MinDis,,,minimize,0.652217,,,11,,5480,25,,,630,1830,2400,,,,,,,0,2430,1230,,,1200,,
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta76_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta76_5a_alloc1_MinDis.dzn,SATISFIED,1201.3172484003007,75,8084,MinDis,0.379,1198.103,minimize,1.91203,2985157,738.118,75,135,18203,135,0.0,2.11,2100,6100,8000,132268,132268,3270201,462308466,2021,10086,0,8083,4100,882124383,1124562,4000,0.0,1132648
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta74_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_7a_alloc1_MinDis.dzn,SATISFIED,1201.168623270467,35,8087,MinDis,0.378,1198.111,minimize,1.89328,3061428,1086.906,35,795,18205,795,0.0,2.11,2100,6100,8000,135699,135699,3268972,836154646,2019,10090,0,8085,4100,-1245014944,976682,4000,0.0,984771
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_7a_alloc1_MinDis.dzn,SATISFIED,1201.1955843567848,47,8088,MinDis,0.375,1198.113,minimize,1.88481,2802599,851.039,47,448,18207,448,0.0,2.11,2100,6100,8000,127343,127343,3026187,443872971,2021,10094,0,8087,4100,-110710437,1034573,4000,0.0,1042663
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta54_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta54_5a_alloc1_MinDis.dzn,SATISFIED,1200.7550192717463,101,3052,MinDis,0.14,1199.218,minimize,0.779254,5222682,665.351,101,30,6866,30,0.0,0.63,800,2300,3000,336027,336027,5635808,472561274,763,3817,0,3051,1550,754169223,335868,1500,0.0,338922
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta42_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta42_3a_alloc1_MinDis.dzn,SATISFIED,1200.6184646394104,4,2432,MinDis,0.114,1199.398,minimize,0.610999,2663760,1179.696,4,559,5481,559,0.0,0.94,630,1830,2400,474466,474466,3140693,505311943,604,3052,0,2431,1230,-16584309,262295,1200,0.0,264729
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta69_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta69_4a_alloc1_MinDis.dzn,SATISFIED,1200.7743063885719,13,4049,MinDis,0.191,1198.968,minimize,1.02956,2533142,5.106,13,256,9118,256,0.0,0.94,1050,3050,4000,703614,703614,3250770,263944175,1016,5066,0,4048,2050,982160993,318091,2000,0.0,322142
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta74_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_9a_alloc1_MinDis.dzn,SATISFIED,1200.7275373116136,,,MinDis,,,minimize,1.89749,,,47,,18207,459,,,2100,6100,8000,,,,,,,0,8087,4100,,,4000,,
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta52_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta52_5a_alloc1_MinDis.dzn,SATISFIED,1200.5678693205118,24,3050,MinDis,0.138,1199.227,minimize,0.771405,8360843,897.696,24,653,6863,653,0.0,0.63,800,2300,3000,561947,561947,8941489,877644542,762,3811,0,3048,1550,1699695657,261749,1500,0.0,264801
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta32_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta32_3a_alloc1_MinDis.dzn,SATISFIED,1200.5297148525715,19,1833,MinDis,0.084,1199.483,minimize,0.516271,4079458,246.268,19,25,4126,25,0.0,0.63,480,1380,1800,697798,697798,4786234,464481761,459,2297,0,1831,930,1286788482,249764,900,0.0,251599
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_10a_alloc1_MinDis.dzn,SATISFIED,1201.181499633938,33,8091,MinDis,0.383,1198.094,minimize,1.91115,1716723,1106.885,33,953,18210,953,0.0,2.11,2100,6100,8000,73066,73066,1857761,673991654,2021,10100,0,8090,4100,-1181605328,939949,4000,0.0,948042
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta43_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta43_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,915.2451888918877,13,2426,MinDis,0.11,913.918,minimize,0.64889,2515552,875.708,13,72,5475,72,0.0,0.94,630,1830,2400,344593,344593,2866345,448014036,603,3040,0,2425,1230,1772012389,289480,1200,0.0,291908
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta63_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta63_5a_alloc1_MinDis.dzn,SATISFIED,1200.4975752756,,,MinDis,,,minimize,1.00573,,,47,,9120,209,,,1050,3050,4000,,,,,,,0,4050,2050,,,2000,,
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta56_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta56_5a_alloc1_MinDis.dzn,SATISFIED,1200.6260419618338,28,3048,MinDis,0.144,1199.223,minimize,0.774554,4947295,7.499,28,54,6862,54,0.0,0.94,800,2300,3000,962799,962799,5932094,226811800,765,3809,0,3047,1550,769517231,291632,1500,0.0,294682
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,SATISFIED,1200.6488491147757,,,MinDis,,,minimize,1.91463,,,37,,18208,391,,,2100,6100,8000,,,,,,,0,8088,4100,,,4000,,
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta64_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta64_4a_alloc1_MinDis.dzn,SATISFIED,1200.6938351392746,14,4039,MinDis,0.184,1198.974,minimize,1.02442,1691429,52.291,14,241,9107,241,0.0,0.94,1050,3050,4000,529543,529543,2235919,363081439,1016,5044,0,4037,2050,-1209389826,338803,2000,0.0,342844
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta66_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta66_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,457.3419016543776,20,4045,MinDis,0.19,455.608,minimize,1.01762,870370,455.486,20,0,9114,0,0.0,0.94,1050,3050,4000,352790,352790,1243359,147391330,1014,5058,0,4044,2050,-1537769429,335057,2000,0.0,339104
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta74_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_5a_alloc1_MinDis.dzn,SATISFIED,1201.401394167915,61,8084,MinDis,0.384,1198.103,minimize,1.9171,2460539,1017.503,61,281,18203,281,0.0,3.16,2100,6100,8000,106188,106188,2691142,524256539,2020,10086,0,8083,4100,-112851205,1286289,4000,0.0,1294375
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_8a_alloc1_MinDis.dzn,SATISFIED,1201.2044729627669,34,8096,MinDis,0.393,1198.122,minimize,1.90021,2001507,874.872,34,730,18215,730,0.0,2.11,2100,6100,8000,89429,89429,2160863,602312876,2020,10110,0,8095,4100,1155751122,905012,4000,0.0,913110
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta59_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta59_3a_alloc1_MinDis.dzn,SATISFIED,1200.5692409202456,3,3048,MinDis,0.138,1199.225,minimize,0.774935,4630063,0.786,3,856,6862,856,0.0,0.94,800,2300,3000,1525642,1525642,6158660,244100300,762,3809,0,3047,1550,1222287561,158819,1500,0.0,161869
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta80_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta80_6a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,606.2679751198739,185,8089,MinDis,0.39,602.594,minimize,1.87553,2035158,564.943,185,2,18208,2,0.0,2.11,2100,6100,8000,67043,67043,2477804,272324411,2017,10096,0,8088,4100,1772014712,1735176,4000,0.0,1743267
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta73_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_7a_alloc1_MinDis.dzn,SATISFIED,1201.3380047343671,69,8091,MinDis,0.388,1198.129,minimize,1.88485,2216373,805.542,69,810,18210,810,0.0,2.11,2100,6100,8000,95508,95508,2452431,529877500,2020,10100,0,8090,4100,682872869,1125939,4000,0.0,1134032
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_10a_alloc1_MinDis.dzn,SATISFIED,1201.148873647675,9,8089,MinDis,0.376,1198.084,minimize,1.92552,4452612,22.896,9,779,18207,779,0.0,2.11,2100,6100,8000,205198,205198,4677279,1058474870,2018,10094,0,8087,4100,1218509310,545928,4000,0.0,554019
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_9a_alloc1_MinDis.dzn,SATISFIED,1201.0969903562218,19,8098,MinDis,0.385,1198.162,minimize,1.84159,3562609,795.931,19,769,18216,769,0.0,2.11,2100,6100,8000,160714,160714,3762972,904249005,2018,10112,0,8096,4100,1686330518,692525,4000,0.0,700625
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta46_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta46_3a_alloc1_MinDis.dzn,SATISFIED,1200.5529866553843,6,2432,MinDis,0.114,1199.388,minimize,0.60998,2084827,77.399,6,341,5481,341,0.0,0.94,630,1830,2400,659484,659484,2747862,469159810,604,3052,0,2431,1230,1003913894,263647,1200,0.0,266081
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta68_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta68_3a_alloc1_MinDis.dzn,SATISFIED,1200.743961315602,15,4044,MinDis,0.188,1198.993,minimize,1.00672,1929894,759.05,15,171,9113,171,0.0,0.94,1050,3050,4000,612603,612603,2558479,351258873,1014,5056,0,4043,2050,1122676525,340673,2000,0.0,344719
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta56_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta56_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,4.457793608307838,22,3046,MinDis,0.14,3.104,minimize,0.770525,38249,3.097,22,0,6860,0,0.0,0.63,800,2300,3000,1138,1138,56070,2161514,765,3805,0,3045,1550,1772020905,188648,1500,0.0,191696
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta35_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta35_3a_alloc1_MinDis.dzn,UNKNOWN,1200.6031071655452,0,1830,MinDis,0.084,1199.489,minimize,0.510742,2053556,0.0,0,-1,4124,,0.0,0.94,480,1380,1800,902807,902807,2956688,396637189,454,2293,0,1829,930,1766418340,204169,900,0.0,206001
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta73_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_8a_alloc1_MinDis.dzn,SATISFIED,1201.3026785161346,97,8092,MinDis,0.386,1198.146,minimize,1.87578,2284391,545.708,97,1204,18211,1204,0.0,2.11,2100,6100,8000,101563,101563,2583126,326861511,2020,10102,0,8091,4100,990031453,1293862,4000,0.0,1301956
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta37_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta37_2a_alloc1_MinDis.dzn,SATISFIED,1200.5217824429274,3,1832,MinDis,0.085,1199.488,minimize,0.510627,2702789,257.377,3,299,4126,299,0.0,0.63,480,1380,1800,1058124,1058124,3762603,423726553,462,2297,0,1831,930,-618500628,164778,900,0.0,166612
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta70_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta70_3a_alloc1_MinDis.dzn,SATISFIED,1200.798570772633,16,4044,MinDis,0.188,1198.979,minimize,1.0212,5709046,375.207,16,439,9112,439,0.0,0.94,1050,3050,4000,378524,378524,6104561,670946716,1014,5054,0,4042,2050,1994071799,400576,2000,0.0,404622
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta56_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta56_3a_alloc1_MinDis.dzn,SATISFIED,1200.5605705231428,21,3047,MinDis,0.14,1199.227,minimize,0.771519,11487538,42.876,21,1,6860,1,0.0,0.63,800,2300,3000,758871,758871,12262903,998085101,764,3805,0,3045,1550,1512728634,197655,1500,0.0,200704
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta45_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta45_2a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,56.78969128802419,10,2427,MinDis,0.114,55.58,minimize,0.65796,240934,55.527,10,0,5476,0,0.0,0.63,630,1830,2400,40310,40310,286935,30415776,611,3042,0,2426,1230,1772017270,245156,1200,0.0,247585
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta38_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta38_3a_alloc1_MinDis.dzn,SATISFIED,1200.4598749037832,5,1833,MinDis,0.082,1199.465,minimize,0.533421,2059510,743.624,5,898,4126,898,0.0,0.63,480,1380,1800,933497,933497,2995492,472241612,454,2297,0,1831,930,2107588240,171517,900,0.0,173352
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta63_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta63_5a_alloc1_MinDis.dzn,SATISFIED,1200.6904513910413,40,4052,MinDis,0.184,1198.993,minimize,1.00567,8841027,376.936,40,568,9120,568,0.0,0.94,1050,3050,4000,559585,559585,9441801,679201180,1014,5070,0,4050,2050,-1897297280,296765,2000,0.0,300819
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_6a_alloc1_MinDis.dzn,SATISFIED,1201.1832268442959,38,8084,MinDis,0.382,1198.114,minimize,1.88888,2350737,1182.605,38,472,18203,472,0.0,2.11,2100,6100,8000,109208,109208,2537929,650265008,2020,10086,0,8083,4100,-1324456191,997470,4000,0.0,1005556
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta64_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta64_4a_alloc1_MinDis.dzn,SATISFIED,1200.4037652872503,,,MinDis,,,minimize,1.011679,,,15,,9107,223,,,1050,3050,4000,,,,,,,0,4037,2050,,,2000,,
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta34_2a_alloc1_MinDis.dzn,SATISFIED,1200.447705740109,,,MinDis,,,minimize,0.541185,,,4,,4126,31,,,480,1380,1800,,,,,,,0,1831,930,,,900,,
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_7a_alloc1_MinDis.dzn,SATISFIED,1201.1966170165688,22,8091,MinDis,0.382,1198.135,minimize,1.86597,2652263,350.751,22,1236,18210,1236,0.0,2.11,2100,6100,8000,123985,123985,2821952,716374159,2018,10100,0,8090,4100,-1985363230,711089,4000,0.0,719182
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_7a_alloc1_MinDis.dzn,SATISFIED,1201.1236823424697,17,8092,MinDis,0.384,1198.105,minimize,1.89311,3808344,200.923,17,1299,18210,1299,0.0,2.11,2100,6100,8000,176033,176033,4019992,930693021,2017,10100,0,8090,4100,1565048529,635839,4000,0.0,643933
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_9a_alloc1_MinDis.dzn,SATISFIED,1201.1313702818006,31,8091,MinDis,0.384,1198.078,minimize,1.9202,3551331,1054.746,31,1330,18209,1330,0.0,2.11,2100,6100,8000,155425,155425,3770650,742789738,2020,10098,0,8089,4100,1129450475,877945,4000,0.0,886038
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta51_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta51_4a_alloc1_MinDis.dzn,SATISFIED,1200.4464459884912,,,MinDis,,,minimize,0.770397,,,4,,6865,335,,,800,2300,3000,,,,,,,0,3050,1550,,,1500,,
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta73_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_5a_alloc1_MinDis.dzn,SATISFIED,1201.2397882789373,20,8090,MinDis,0.385,1198.114,minimize,1.88665,3860546,106.497,20,692,18208,692,0.0,2.11,2100,6100,8000,170324,170324,4072580,973912474,2019,10096,0,8088,4100,-1973614078,627362,4000,0.0,635454
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta79_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta79_5a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,1026.614161444828,77,8085,MinDis,0.391,1023.041,minimize,1.88478,3248033,1022.95,77,0,18204,0,0.0,2.11,2100,6100,8000,122356,122356,3530956,384479916,2020,10088,0,8084,4100,1772016445,1469117,4000,0.0,1477204
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta55_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta55_4a_alloc1_MinDis.dzn,SATISFIED,1200.6567814294249,26,3048,MinDis,0.182,1199.196,minimize,0.80383,5117194,185.498,26,81,6862,81,0.0,0.63,800,2300,3000,1480795,1480795,6618512,271129635,765,3809,0,3047,1550,-1176591218,224994,1500,0.0,228044
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta58_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta58_3a_alloc1_MinDis.dzn,SATISFIED,1200.5424437187612,22,3054,MinDis,0.141,1199.241,minimize,0.758819,12135855,718.514,22,65,6867,65,0.0,0.63,800,2300,3000,821994,821994,12975076,962970186,763,3819,0,3052,1550,1888759721,192691,1500,0.0,195747
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta79_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta79_5a_alloc1_MinDis.dzn,SATISFIED,1201.1989840772003,22,8086,MinDis,0.376,1198.098,minimize,1.90578,3756741,1051.663,22,544,18204,544,0.0,2.11,2100,6100,8000,167051,167051,3969508,909852868,2020,10088,0,8084,4100,573213736,793508,4000,0.0,801596
