configuration,problem,model,data_file,status,time,peakDepth,nodes,variables,intVars,boolVariables,objective,propagations,initTime,method,baseMem,restarts,nSolutions,flatBoolVars,randomSeed,evaluatedHalfReifiedConstraints,flatIntConstraints,solver_objective,backjumps,solveTime,flatIntVars,nogoods,flatTime,peakMem,flatBoolConstraints,failures,run,trailMem,eliminatedImplications,paths,propagators,optTime,evaluatedReifiedConstraints
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta51_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta51_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.6764054819942,763,17260647,494617,3070,491545,-14933,215247800,0.139,minimize,0.0,70,70,2300,-493960919,1550,6889,-14933,15906395,1199.235,3068,1315963,0.763572,0.0,3000,1315963,MaxEff_dcmp,0.94,800,0,3841,118.876,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta69_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta69_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.863795928657,1016,14279336,713589,4068,709519,-20727,236926948,0.187,minimize,0.0,75,75,3050,814138977,2050,9142,-20727,13625991,1198.984,4066,588173,1.01393,0.0,4000,588173,MaxEff_dcmp,1.41,1050,0,5092,168.117,2000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta77_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta77_8a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.4038832001388,2018,3265069,1559739,8123,1551614,-38039,197433025,0.377,minimize,0.0,116,116,6100,303469724,4100,18250,-38039,2696584,1198.079,8121,333183,1.9192,0.0,8000,333183,MaxEff_dcmp,3.16,2100,0,10146,88.747,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta75_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta75_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.4436335843056,2018,7018691,1684303,8101,1676200,-43933,175616887,0.381,minimize,0.0,145,145,6100,1280172234,4100,18225,-43933,6354682,1198.133,8099,372889,1.86681,0.0,8000,372889,MaxEff_dcmp,3.16,2100,0,10108,148.86,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta37_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta37_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5626112800092,461,3467459,170645,1845,168798,-8284,403722376,0.083,minimize,0.0,30,30,1380,27702622,930,4142,-8284,2410941,1199.483,1843,1042525,0.515489,0.0,1800,1042525,MaxEff_dcmp,0.63,480,0,2315,183.256,900
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta47_3a_alloc1_MaxEffSpread.dzn,OPTIMAL_SOLUTION,57.25453538261354,602,290454,287058,2443,284613,-9610,30118006,0.111,minimize,0.0,35,35,1830,-225302636,1230,5495,-9610,245349,56.089,2441,29085,0.65662,0.0,2400,29085,MaxEff_dcmp,0.63,630,0,3066,44.347,1200
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta72_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta72_8a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.689965153113,,,,,,-35772,,,minimize,,,230,6100,,4100,18243,,,,8114,,1.90164,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta59_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta59_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.582247549668,760,6326166,280328,3060,277266,-14640,282914404,0.138,minimize,0.0,60,60,2300,1590062159,1550,6877,-14640,4974143,1199.217,3058,1307837,0.781958,0.0,3000,1307837,MaxEff_dcmp,0.94,800,0,3825,20.469,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta32_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta32_2a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5653205718845,459,3337931,266490,1840,264648,-8878,429463461,0.085,minimize,0.0,37,37,1380,1746255698,930,4136,-8878,2586081,1199.484,1838,734851,0.514116,0.0,1800,734851,MaxEff_dcmp,0.63,480,0,2307,1153.335,900
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta49_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta49_2a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5432454999536,609,2334752,233387,2438,230947,-10289,473925877,0.108,minimize,0.0,26,26,1830,1559276987,1230,5489,-10289,1700134,1199.347,2436,618554,0.652479,0.0,2400,618554,MaxEff_dcmp,0.94,630,0,3058,259.481,1200
