configuration,problem,model,data_file,status,time,restarts,intVars,run,initTime,solveTime,method,flatTime,backjumps,optTime,nSolutions,solver_objective,flatIntConstraints,objective,baseMem,trailMem,eliminatedImplications,flatBoolVars,flatBoolConstraints,failures,nogoods,nodes,propagations,peakDepth,propagators,paths,flatIntVars,evaluatedHalfReifiedConstraints,randomSeed,boolVariables,evaluatedReifiedConstraints,peakMem,variables
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta73_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_9a_alloc1_MinDis.dzn,SATISFIED,1200.634878527373,,,MinDis,,,minimize,1.88504,,,54,,18215,877528,,,2100,6100,8000,,,,,,,0,8092,4100,,,4000,,
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta78_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_6a_alloc1_MinDis.dzn,SATISFIED,1201.1894825603813,20,8087,MinDis,0.38,1198.102,minimize,1.90055,4168037,947.528,20,2120587,18209,2120587,0.0,2.11,2100,6100,8000,184674,184674,4394384,845953022,2020,10092,0,8086,4100,2080033346,744569,4000,0.0,752658
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,SATISFIED,1200.6158647574484,7,3050,MinDis,0.138,1199.224,minimize,0.772572,3786935,0.979,7,272137,6867,272137,0.0,0.63,800,2300,3000,1337838,1337838,5130792,270511343,766,3813,0,3049,1550,-2079114945,193779,1500,0.0,196831
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta77_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_6a_alloc1_MinDis.dzn,SATISFIED,1201.3818493820727,192,8094,MinDis,0.386,1198.115,minimize,1.8857,2342149,1054.662,192,8350,18216,8350,0.0,2.11,2100,6100,8000,103965,103965,2834761,363723830,2020,10106,0,8093,4100,1476208519,1563037,4000,0.0,1571133
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta64_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta64_5a_alloc1_MinDis.dzn,SATISFIED,1200.3409062530845,,,MinDis,,,minimize,0.96796,,,4,,9111,1384293,,,1050,3050,4000,,,,,,,0,4038,2050,,,2000,,
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta42_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta42_3a_alloc1_MinDis.dzn,SATISFIED,1200.5833230651915,8,2432,MinDis,0.111,1199.401,minimize,0.606957,2875033,1198.371,8,139786,5484,139786,0.0,0.94,630,1830,2400,442440,442440,3321925,534850762,604,3052,0,2431,1230,-1078962157,278120,1200,0.0,280554
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta69_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta69_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,387.3655684944242,35,4048,MinDis,0.183,385.73,minimize,0.956673,1630502,385.656,35,0,9120,0,0.0,0.94,1050,3050,4000,116906,116906,1782732,181264281,1017,5064,0,4047,2050,-1409871159,404514,2000,0.0,408564
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta69_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta69_4a_alloc1_MinDis.dzn,SATISFIED,1200.5166213288903,,,MinDis,,,minimize,1.01169,,,74,,9121,1117,,,1050,3050,4000,,,,,,,0,4048,2050,,,2000,,
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta42_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta42_2a_alloc1_MinDis.dzn,SATISFIED,1200.5873204991221,11,2431,MinDis,0.111,1199.346,minimize,0.656554,3230322,930.325,11,12,5483,12,0.0,0.94,630,1830,2400,439008,439008,3676149,583573391,604,3050,0,2430,1230,1386452155,260971,1200,0.0,263404
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta56_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta56_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,7.973888607695699,25,3046,MinDis,0.142,6.638,minimize,0.776148,52647,6.631,25,0,6863,0,0.0,0.63,800,2300,3000,2229,2229,73955,4152979,765,3805,0,3045,1550,-1434731151,201471,1500,0.0,204519
